City,lat,lon,code,has_heavy_rail,has_commuter_rail,has_light_rail,has_transit_bus,has_intercity_bus,has_air_connection,has_bikeshare,modes_served,is_metro_area,CBSA_TYPE,metro_pop,distance_to_nearest_major_city_km,num_amtrak_stations_80km,pct_drove_alone,pct_public_transit,pct_rail_commute,pct_walked,pct_work_from_home,median_household_income,college_enrollment_15km,overseas_visitors_thousands,station_name,station_type,annual_ridership,is_northeast_corridor,is_expansion_candidate,weekly_departures,num_routes_served,is_terminal,avg_dwell_time_sec,service_span_hours,avg_stop_sequence_pct,num_directions,avg_route_length_km,max_route_length_km,pct_long_distance
Phoenix,33.4467681,-112.0756724,CAND_Phoenix,0,0,1,1,1,1,0,4,1,1,1465114.0,0.0,1,0.6660246755063911,0.012630855997358874,0.00010562675072909893,0.013994858583613861,0.18767221504326123,85518.0,414211.0,387.0,Phoenix (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
San Francisco,37.7792768,-122.4192704,CAND_San_Francisco,1,1,1,1,1,1,1,7,1,1,816239.0,0.0,16,0.28633187193332477,0.21424433119355157,0.011479820249905721,0.09961045719137318,0.2745697437528836,141446.0,90951.0,2405.0,San Francisco (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Nashville-Davidson,36.187025,-86.78086153,CAND_Nashville_Davidson,0,1,0,1,1,1,1,5,1,1,612243.0,0.0,0,0.6832536793958963,0.01606767932402811,0.00047484355829795536,0.01877557096729483,0.18269926745755924,75664.0,54682.0,299.0,Nashville-Davidson (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Louisville/Jefferson County,38.209237,-85.7038502,CAND_Louisville_Jefferson_County,0,0,0,1,1,1,1,4,1,1,601709.0,0.0,0,0.7372927749881474,0.018869950834400726,3.405182688051214e-05,0.018628968674938642,0.12421844508880979,67849.0,48666.0,,Louisville/Jefferson County (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Long Beach,33.7774658,-118.1884871,CAND_Long_Beach,0,1,1,1,1,1,1,6,1,1,3826423.0,31.12280763091947,17,0.6635378427669828,0.04248638112615559,0.0012650878676097128,0.02427935894280902,0.15177377942290912,87760.0,121429.0,4430.0,Long Beach (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Mesa,33.436188,-111.5860661,CAND_Mesa,0,0,1,1,1,0,0,3,1,1,1465114.0,45.444048482337514,1,0.6660246755063911,0.012630855997358874,0.00010562675072909893,0.013994858583613861,0.18767221504326123,85518.0,373.0,387.0,Mesa (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Virginia Beach,36.7953025,-76.05092502,CAND_Virginia_Beach,0,0,0,1,1,1,0,3,1,1,442984.0,248.99333046806402,3,0.7533048934745405,0.008118587597245302,0.00021081872070239838,0.017816248749555626,0.12659870863199318,90685.0,26804.0,,Virginia Beach (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Colorado Springs,38.8339578,-104.8253485,CAND_Colorado_Springs,0,0,0,1,1,1,0,3,1,1,427416.0,101.58318202457515,0,0.7044986470134124,0.0033764561635016843,0.0,0.03318490104365619,0.15364211167415062,87470.0,57271.0,,Colorado Springs (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Tulsa,36.1556805,-95.9929113,CAND_Tulsa,0,0,0,1,0,1,1,3,1,1,392751.0,157.00047691110856,0,0.7718735842277109,0.003515020855790411,0.00011560513036821796,0.013097748824420804,0.10257299526643858,67317.0,32647.0,,Tulsa (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Minneapolis,44.9772995,-93.2654692,CAND_Minneapolis,0,1,1,1,1,1,1,6,1,1,388253.0,478.6650810341491,2,0.6205553962572831,0.04023486225712876,0.00016010689318395846,0.02823266733717493,0.22373191701805278,96339.0,195767.0,172.0,Minneapolis (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Wichita,37.6922361,-97.3375448,CAND_Wichita,0,0,0,1,0,1,0,2,1,1,383696.0,247.28887783487139,2,0.8058002088298356,0.006081571165541483,0.0,0.011170802081921873,0.07119742390065438,67675.0,29166.0,,Wichita (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Arlington,32.7355816,-97.1071186,CAND_Arlington,0,1,1,1,1,1,1,6,1,1,1219399.0,21.192336026624602,3,0.7378830248295556,0.0035388992615246555,0.000854217063126641,0.01083447620066779,0.1354957228131339,81905.0,48344.0,,Arlington (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Corpus Christi,27.8002542,-97.3955744,CAND_Corpus_Christi,0,0,0,1,1,1,0,3,1,1,308069.0,210.10111626003572,0,0.8033088120402258,0.011700219379113358,0.0,0.013962761801783784,0.04975093282999056,66021.0,21566.0,,Corpus Christi (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Lexington-Fayette urban county,38.0464066,-84.4970393,CAND_Lexington_Fayette_urban_county,0,0,0,1,1,1,0,3,1,1,301213.0,107.10027812159093,0,0.748383092901428,0.013160376497502388,0.0,0.030360739122763252,0.10903095091781914,67631.0,46053.0,,Lexington-Fayette urban county (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Henderson,40.8156124,-90.9104547,CAND_Henderson,0,0,0,1,1,1,0,3,1,1,259958.0,298.53361535255874,5,0.8693710457759584,0.004838109415705247,0.004093784890212133,0.008559732043170823,0.05508001488649051,65651.0,0.0,,Henderson (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
Fort Wayne,41.0799898,-85.1386015,CAND_Fort_Wayne,0,0,0,1,1,1,0,3,1,1,254607.0,169.4762808291269,2,0.7914555947419044,0.00834669231591322,6.412311638345624e-05,0.012049802287057817,0.08296462541412845,68839.0,16820.0,,Fort Wayne (Expansion Candidate),Expansion Candidate,,0,1,,,,,,,,,,
