code,station_name,map_station,state_abbr,City,lat,lon,station_type,annual_ridership,match_method,has_heavy_rail,has_commuter_rail,has_light_rail,has_transit_bus,has_intercity_bus,has_air_connection,has_bikeshare,modes_served,is_metro_area,CBSA_TYPE,metro_pop,distance_to_nearest_major_city_km,num_nearby_stations,is_northeast_corridor,weekly_departures,num_routes_served,is_terminal,avg_dwell_time_sec,service_span_hours,avg_stop_sequence_pct,num_directions,avg_route_length_km,max_route_length_km,weekly_trips,pct_long_distance,pct_drove_alone,pct_public_transit,pct_rail_commute,pct_walked,pct_work_from_home,median_household_income,college_enrollment_15km
ABE,"Aberdeen, MD","Aberdeen, Maryland",MD,Aberdeen,39.508447,-76.16326,Station Building (with waiting room),53358.0,coord(0.11km),0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,620889.0,45.43316219908312,10,1,280.0,1.0,0.0,75.72815533980582,14.1,0.5742558781446497,2.0,945.2247145706848,945.2247145706848,280.0,1.0,0.7613546669027228,0.0086308008940624,0.0018146812136233,0.0110503758455603,0.1343823075958424,111317.0,5108.0
ABN,"Absecon, NJ",,NJ,Absecon,39.424041,-74.501475,Platform with Shelter,,,,,,,,,,,,,60947.0,81.62439035203141,7,1,,,,,,,,,,,,0.7327577410619678,0.0400141281739335,0.0008555394215297,0.033405282367254,0.0850437580942663,76819.0,9235.0
ABQ,"Albuquerque, NM","Albuquerque, New Mexico",NM,Albuquerque,35.082061,-106.647975,Station Building (with waiting room),58919.0,coord(0.13km),0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,551813.0,0.3558040862124439,0,0,14.0,1.0,0.0,2400.0,4.033333333333333,0.515625,2.0,2802.420687273947,2802.420687273947,14.0,1.0,0.7332400245245276,0.0109833963993534,0.0005326033776963,0.0177307380272618,0.128351220962278,66514.0,43945.0
ACA,"Antioch-Pittsburg, CA","Antioch-Pittsburg, California",CA,Antioch,38.0177,-121.816024,Platform with Shelter,35667.0,coord(0.09km),0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,396649.0,59.1992400883787,22,0,,,,,,,,,,,,0.6080419403921455,0.0652452171655621,0.0122482386621764,0.0182894290885752,0.1919209218809718,125727.0,8567.0
ACD,"Arcadia, MO","Arcadia, Missouri",MO,Arcadia,37.592161,-90.624403,Station Building (with waiting room),1306.0,coord(0.01km),,,,,,,,,,,8733.0,276.4608230097918,0,0,76.0,1.0,0.0,0.0,30.116666666666667,0.5240855831774035,2.0,2802.420687273947,2802.420687273947,76.0,1.0,0.8168628524500411,0.0013687380235422,0.0,0.016151108677799,0.0563920065699425,51161.0,0.0
ACY,"Atlantic City, NJ",,NJ,Atlantic City,39.362689,-74.439903,Station Building (with waiting room),,,,,,,,,,,,,60947.0,90.21575181724,5,1,,,,,,,,,,,,0.7327577410619678,0.0400141281739335,0.0008555394215297,0.033405282367254,0.0850437580942663,76819.0,273.0
ADM,"Ardmore, OK","Ardmore, Oklahoma",OK,Ardmore,34.172465,-97.12551,Platform only (no shelter),6553.0,coord(0.06km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,47182.0,148.96244356187393,2,0,14.0,1.0,0.0,0.0,8.9,0.5714285714285714,2.0,302.26880367828016,302.26880367828016,14.0,0.0,0.7899436539012511,0.0052526024257473,0.0,0.0173813389361092,0.0420685703371215,58856.0,694.0
AIR,"Atwater, CA",,CA,Atwater,37.364226,-120.578288,Curbside Bus Stop only (no shelter),,,,,,,,,,,,,204312.0,98.91653153508216,6,0,,,,,,,,,,,,0.7677476470040071,0.0043798341254309,0.0,0.0244711583263442,0.0635448700027956,65044.0,21535.0
AKY,"Ashland, KY","Ashland, Kentucky",KY,Ashland,38.480875,-82.639603,Platform with Shelter,1792.0,coord(0.01km),0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,49112.0,167.63343369198802,2,0,22.0,1.0,0.0,0.0,7.85,0.55859375,2.0,1145.2593396084626,1145.2593396084626,22.0,1.0,0.8094256881703387,0.0017963755481587,0.0,0.0231943784012257,0.0541554393194906,60659.0,4662.0
ALB,"Albany-Rensselaer, NY","Albany-Rensselaer, New York",NY,Rensselaer,42.641029,-73.741147,Station Building (with waiting room),920779.0,coord(0.07km),0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,98012.0,213.4052684265416,6,0,241.0,5.0,1.0,1158.9473684210527,35.166666666666664,0.542973512329468,2.0,683.1636903759563,1366.7675680042164,241.0,0.6,0.7264174994901081,0.0243345910666938,0.0008285743422394,0.0367249643075668,0.1246813175606771,86663.0,60382.0
