feature,term_type,mean_abs_score,score_range,n_bins
weekly_departures,main,0.47521,2.3448,116
station_type,main,0.36026,0.6995,3
is_terminal,main,0.35696,0.71392,3
dest_metro_pop_weighted_sum,main,0.21169,0.75917,447
avg_dwell_time_sec,main,0.14469,0.69905,201
college_enrollment_15km,main,0.13575,0.55825,391
pct_walked,main,0.13217,0.65608,376
num_amtrak_stations_80km,main,0.13169,0.44867,22
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,interaction,0.12853,0.76407,1302
has_transit_bus,main,0.11736,0.23472,3
pct_work_from_home,main,0.11042,0.56836,376
service_span_hours,main,0.1041,0.85624,458
median_household_income,main,0.09487,0.34391,374
n_distinct_destinations,main,0.09425,0.58791,70
has_intercity_bus,main,0.09363,0.18726,3
eigenvector_centrality,main,0.09125,0.54401,177
has_bikeshare,main,0.08956,0.17912,3
modes_served,main,0.08737,0.22661,5
pct_public_transit,main,0.08006,0.43546,354
metro_pop,main,0.07998,0.40429,284
avg_stop_sequence_pct,main,0.07422,0.50114,350
has_light_rail,main,0.06687,0.13374,3
distance_to_nearest_major_city_km,main,0.06201,0.38908,509
overseas_visitors_thousands,main,0.0586,0.19329,38
has_heavy_rail,main,0.05853,0.11706,3
has_air_connection,main,0.05373,0.10746,3
service_span_hours & dest_metro_pop_weighted_sum,interaction,0.0484,0.51907,3844
pct_rail_commute & dest_metro_pop_weighted_sum,interaction,0.04487,0.40416,3844
pct_rail_commute,main,0.0331,0.41718,182
pct_drove_alone,main,0.03041,0.24854,376
has_commuter_rail,main,0.02029,0.04058,3
