interaction,x,y,score
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,0,0.11255
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,1,0.1149
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,2,0.11983
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,3,0.11891
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,4,0.00865
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,5,0.00845
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,6,0.00648
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,7,0.03166
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,8,0.02969
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,9,0.02165
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,10,0.02157
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,11,0.02138
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,12,0.01933
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,13,0.01893
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,14,0.01761
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,15,0.01673
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,16,0.01252
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,17,0.00346
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,18,0.002
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,19,0.00089
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,20,-0.00498
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,21,-0.00625
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,22,-0.01282
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,23,-0.0141
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,24,-0.0161
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,25,-0.01699
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,26,-0.01732
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,27,-0.01784
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,28,-0.01811
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,0,29,-0.02154
