feature,x,score
has_heavy_rail,0.0,0.00239
has_heavy_rail,0.5,-0.08698
has_commuter_rail,0.0,0.00115
has_commuter_rail,0.5,-0.00525
has_light_rail,0.0,-0.01979
has_light_rail,0.5,0.43114
has_transit_bus,0.0,-0.16263
has_transit_bus,0.5,0.11406
has_intercity_bus,0.0,-0.03136
has_intercity_bus,0.5,0.086
has_air_connection,0.0,0.00056
has_air_connection,0.5,-0.04807
has_bikeshare,0.0,0.00424
has_bikeshare,0.5,-0.07799
modes_served,0.0,-0.33459
modes_served,0.5,-0.06792
modes_served,1.5,0.06877
modes_served,2.5,0.17354
metro_pop,7185.0,-0.15807
metro_pop,7447.0,-0.15298
metro_pop,7603.0,-0.15018
metro_pop,7748.0,-0.14729
metro_pop,8092.5,-0.14514
metro_pop,8547.5,-0.13794
metro_pop,8749.0,-0.12482
metro_pop,8784.0,-0.05591
metro_pop,8952.0,-0.05269
metro_pop,9394.0,-0.04899
metro_pop,9486.0,-0.04622
metro_pop,9774.0,-0.04889
metro_pop,9974.0,-0.04813
metro_pop,10089.0,-0.04583
metro_pop,10580.5,-0.04282
metro_pop,11522.0,-0.03944
metro_pop,12070.0,-0.05064
metro_pop,13376.0,-0.05366
metro_pop,13480.0,-0.05275
metro_pop,13952.5,-0.05102
metro_pop,14381.5,-0.05034
metro_pop,14707.0,-0.0463
metro_pop,14803.5,-0.05929
metro_pop,14892.5,-0.05585
metro_pop,14941.5,-0.05479
metro_pop,15144.0,-0.05372
metro_pop,15399.0,-0.04979
metro_pop,15679.5,-0.0473
metro_pop,15901.0,-0.04301
metro_pop,16352.5,-0.04194
metro_pop,16893.5,-0.04005
metro_pop,17016.0,-0.03845
metro_pop,17052.0,-0.03753
metro_pop,17115.5,-0.03651
metro_pop,17259.5,-0.03521
metro_pop,17440.5,-0.03178
metro_pop,17610.5,-0.03203
metro_pop,17728.5,-0.03059
metro_pop,17834.0,-0.02714
metro_pop,18057.5,-0.0241
metro_pop,18315.5,-0.0191
metro_pop,18505.5,-0.01773
metro_pop,19164.5,-0.01705
metro_pop,20032.0,-0.01497
metro_pop,20282.0,-0.01418
metro_pop,20513.5,-0.01257
metro_pop,20824.5,-0.01342
metro_pop,21100.5,-0.01049
metro_pop,21251.0,-0.01028
metro_pop,21535.0,-0.00965
metro_pop,22038.0,-0.00711
metro_pop,22893.5,-0.02963
metro_pop,24144.5,-0.02831
metro_pop,24958.0,-0.02831
metro_pop,26163.5,-0.02802
metro_pop,27390.5,-0.02693
metro_pop,28730.0,-0.02622
metro_pop,30200.0,-0.02369
metro_pop,30852.0,-0.02201
metro_pop,31692.0,-0.02136
metro_pop,32126.5,-0.02106
metro_pop,32320.5,-0.01974
metro_pop,33056.0,-0.0193
metro_pop,34069.5,-0.01717
metro_pop,35163.0,-0.01939
metro_pop,35738.5,-0.01911
metro_pop,36256.5,-0.01849
metro_pop,36605.0,-0.01696
metro_pop,36824.0,-0.01708
metro_pop,37998.0,-0.01569
metro_pop,38246.0,-0.01494
metro_pop,38831.5,-0.01457
metro_pop,39486.5,-0.01426
metro_pop,39880.0,-0.01438
metro_pop,40772.5,-0.01244
metro_pop,42062.5,-0.0117
metro_pop,42159.0,-0.01171
metro_pop,42645.5,-0.01115
metro_pop,43177.0,-0.0107
metro_pop,44010.0,-0.02135
metro_pop,44832.5,-0.02096
metro_pop,46200.0,-0.02094
metro_pop,46314.5,-0.02061
metro_pop,46792.0,-0.02057
metro_pop,47267.0,-0.02194
metro_pop,48344.0,-0.02247
metro_pop,48857.5,-0.02199
metro_pop,49238.5,-0.02196
metro_pop,49414.5,-0.022
metro_pop,49536.5,-0.02189
metro_pop,50465.5,-0.02124
metro_pop,51195.5,-0.02048
metro_pop,51653.0,-0.01836
metro_pop,52789.0,-0.01654
metro_pop,53222.0,-0.01572
metro_pop,54330.0,-0.01443
metro_pop,54991.5,-0.01312
metro_pop,56542.0,-0.01124
metro_pop,58557.0,-0.01069
metro_pop,59604.0,-0.01025
metro_pop,60545.0,-0.00949
metro_pop,61743.5,-0.00979
metro_pop,62996.0,-0.00852
metro_pop,64153.5,-0.00812
metro_pop,65127.0,-0.00703
metro_pop,65940.0,-0.0069
metro_pop,66003.0,-0.00638
metro_pop,66053.5,-0.00568
metro_pop,66320.0,-0.00432
metro_pop,67044.0,-0.00436
metro_pop,67630.0,-0.00375
metro_pop,68241.0,-0.00282
metro_pop,68811.5,-0.00241
metro_pop,68978.0,-0.0014
metro_pop,72126.0,-0.00173
metro_pop,73679.0,-0.00099
metro_pop,75110.5,0.00068
metro_pop,76683.5,0.00153
metro_pop,77334.0,0.00302
metro_pop,78688.0,0.00408
metro_pop,79676.0,0.00627
metro_pop,80012.5,0.00687
metro_pop,80604.0,0.01129
metro_pop,81090.5,0.01246
metro_pop,81342.0,0.01653
metro_pop,81638.0,0.01693
metro_pop,81870.5,0.0168
metro_pop,83229.0,0.01824
metro_pop,84807.0,0.02019
metro_pop,86079.5,0.02177
metro_pop,86465.5,0.02595
metro_pop,89562.0,0.02699
metro_pop,90688.5,0.02801
metro_pop,91374.5,0.03161
metro_pop,92145.0,0.03363
metro_pop,93362.5,0.03513
metro_pop,97411.0,0.03702
metro_pop,98155.0,0.03837
metro_pop,98693.0,0.0388
metro_pop,99970.0,0.03877
metro_pop,100932.0,0.03868
metro_pop,101180.5,0.03922
metro_pop,102512.0,0.03453
metro_pop,107633.5,0.00755
metro_pop,108022.0,-0.00207
metro_pop,111106.0,-0.01737
metro_pop,114119.0,-0.01735
metro_pop,114440.5,-0.01464
metro_pop,114943.5,-0.01373
metro_pop,116092.0,-0.01313
metro_pop,117370.5,-0.03225
metro_pop,117983.5,-0.04882
metro_pop,120153.0,-0.04899
metro_pop,122233.0,-0.04646
metro_pop,122719.0,-0.04579
metro_pop,123454.0,-0.04481
metro_pop,124628.0,-0.04301
metro_pop,125675.5,-0.04058
metro_pop,126196.5,-0.03876
metro_pop,129485.0,-0.03795
metro_pop,135556.0,-0.03674
metro_pop,142307.0,-0.03229
metro_pop,145283.5,-0.03068
metro_pop,147002.5,-0.00821
metro_pop,150281.0,-0.00607
metro_pop,154457.5,0.00318
metro_pop,156742.5,0.00528
metro_pop,157855.5,0.00767
metro_pop,159441.0,0.01597
metro_pop,163760.0,0.01714
metro_pop,168078.5,0.01883
metro_pop,169420.0,0.02122
metro_pop,172621.5,0.04442
metro_pop,177221.5,0.05561
metro_pop,179365.5,0.05775
metro_pop,188606.0,0.07127
metro_pop,191930.0,0.07228
metro_pop,196525.5,0.07295
